group,team,player,club,league,position,role,age,ea_overall,skill,form,experience,overall
J,Algeria,Riyad Mahrez,Al Ahli SFC,Pro League,MID,WM,34,84.0,77.7,84.0,76.4,79.9
J,Algeria,Ismaël Bennacer,Dinamo Zagreb,Hrvatska nogometna liga,MID,DM,27,80.0,77.9,80.0,66.4,78.4
J,Algeria,Amine Ferid Gouiri,Olympique de Marseille,Ligue 1,FWD,ST,25,79.0,78.4,79.0,48.2,76.8
J,Algeria,Mohamed Saïd Benrahma,NEOM SC,Pro League,FWD,W,29,77.0,76.2,77.0,54.8,75.6
J,Algeria,Mohamed El Amine Amoura,VfL Wolfsburg,Bundesliga,FWD,ST,25,80.0,79.7,80.0,23.9,75.4
J,Algeria,Ramy Bensebaini,Borussia Dortmund,Bundesliga,DEF,FB,30,79.0,75.2,79.0,56.5,75.4
J,Algeria,Nabil Bentaleb,Lille OSC,Ligue 1,MID,DM,30,77.0,74.4,77.0,56.5,74.6
J,Algeria,Houssem Aouar,Al Ittihad,Pro League,MID,AM,27,77.0,74.9,77.0,51.5,74.4
J,Algeria,Rayan Aït Nouri,Manchester City,Premier League,DEF,FB,24,81.0,78.2,81.0,22.2,74.3
J,Algeria,Adem Zorgane,Union Saint-Gilloise,Pro League,MID,DM,25,78.0,75.9,78.0,23.9,72.5
J,Algeria,Anis Hadj Moussa,Feyenoord,Eredivisie,FWD,W,23,76.0,75.7,76.0,20.5,71.7
J,Algeria,Hicham Boudaoui,OGC Nice,Ligue 1,MID,CM,25,77.0,74.4,77.0,23.9,71.3
J,Algeria,Rachid Ghezzal,Olympique Lyonnais,Ligue 1,MID,WM,33,74.0,69.1,74.0,61.5,71.0
J,Algeria,Himad Abdelli,Angers SCO,Ligue 1,MID,AM,25,76.0,73.3,76.0,23.9,70.4
J,Algeria,Aïssa Mandi,Lille OSC,Ligue 1,DEF,CB,33,75.0,71.6,75.0,37.2,70.4
J,Algeria,Amir Sayoud,Al Hazem FC,Pro League,MID,WM,34,75.0,71.1,75.0,37.2,70.1
J,Algeria,Rafik Guitane,GD Estoril Praia,Primeira Liga,FWD,W,26,73.0,73.4,73.0,25.5,70.1
J,Algeria,Badredine Bouanani,VfB Stuttgart,Bundesliga,FWD,W,20,75.0,73.1,75.0,15.5,69.2
J,Algeria,Haris Belkebla,Angers SCO,Ligue 1,MID,DM,31,74.0,70.6,74.0,33.9,69.2
