player,name,team,position,natural_position,club,league,age,pace,shooting,passing,dribbling,defending,physical,overall,vision,gk,caps,form,available
Julián Andrés Quiñones Quiñones,Julián Andrés Quiñones Quiñones,Mexico,ST,ST,Al Qadsiah FC,Pro League,28,88.0,79.0,70.0,79.0,36.0,83.0,80,74.0,10.0,8,80.0,1
Luis Ángel Malagón Velázquez,Luis Ángel Malagón Velázquez,Mexico,GK,GK,,nan,28,45.0,45.0,45.0,45.0,45.0,45.0,79,79.0,80.75,8,79.0,1
Santiago Tomás Giménez,Santiago Tomás Giménez,Mexico,ST,ST,AC Milan,Serie A,24,78.0,80.0,70.0,77.0,46.0,69.0,79,73.6,9.0,30,79.0,1
Roberto Carlos Alvarado Hernández,Roberto Carlos Alvarado Hernández,Mexico,RM,RM,,nan,26,81.0,71.0,78.0,76.0,53.0,69.0,78,78.0,12.25,8,78.0,1
Germán Berterame,Germán Berterame,Mexico,ST,ST,,nan,26,77.0,79.0,68.0,75.0,34.0,73.0,78,72.0,12.0,8,78.0,1
Hirving Rodrigo Lozano Bahena,Hirving Rodrigo Lozano Bahena,Mexico,LW,LW,San Diego FC,Major League Soccer,29,88.0,75.0,71.0,80.0,41.0,58.0,78,73.80000000000001,11.25,52,78.0,1
Erick Daniel Sánchez Ocegueda,Erick Daniel Sánchez Ocegueda,Mexico,CM,CM,,nan,25,74.0,75.0,77.0,73.0,75.0,72.0,78,77.4,10.75,8,78.0,1
Edson Omar Álvarez Velázquez,Edson Omar Álvarez Velázquez,Mexico,CDM,CDM,Fenerbahçe SK,Süper Lig,27,65.0,58.0,69.0,72.0,78.0,79.0,78,72.6,7.75,52,78.0,1
Ernesto Alexis Vega Rojas,Ernesto Alexis Vega Rojas,Mexico,LW,LW,,nan,27,80.0,78.0,77.0,80.0,32.0,73.0,78,77.4,7.75,8,78.0,1
Orbelín Pineda Alvarado,Orbelín Pineda Alvarado,Mexico,CAM,CAM,AEK Athens,Super League,29,81.0,74.0,72.0,81.0,68.0,69.0,77,74.0,12.25,8,77.0,1
Raúl Alonso Jiménez Rodríguez,Raúl Alonso Jiménez Rodríguez,Mexico,ST,ST,Fulham FC,Premier League,34,57.0,79.0,74.0,75.0,46.0,79.0,77,75.2,10.5,8,77.0,1
Diego Lainez Leyva,Diego Lainez Leyva,Mexico,RM,RM,,nan,25,80.0,66.0,70.0,82.0,52.0,53.0,76,72.4,10.75,8,76.0,1
Carlos Alberto Rodríguez Gómez,Carlos Alberto Rodríguez Gómez,Mexico,CAM,CAM,,nan,28,77.0,67.0,73.0,78.0,66.0,68.0,76,74.2,11.25,8,76.0,1
Jesús Daniel Gallardo Vasconcelos,Jesús Daniel Gallardo Vasconcelos,Mexico,LB,LB,,nan,30,83.0,67.0,70.0,75.0,69.0,75.0,75,72.0,9.75,8,75.0,1
Marcel Alejandro Ruiz Suárez,Marcel Alejandro Ruiz Suárez,Mexico,CM,CM,,nan,24,74.0,65.0,75.0,75.0,68.0,68.0,75,75.0,10.75,8,75.0,1
César Jasib Montes Castro,César Jasib Montes Castro,Mexico,CB,CB,,nan,28,57.0,46.0,60.0,63.0,74.0,79.0,75,66.0,9.25,8,75.0,1
Johan Felipe Vásquez Ibarra,Johan Felipe Vásquez Ibarra,Mexico,CB,CB,Genoa,Serie A,26,61.0,33.0,58.0,60.0,76.0,75.0,75,64.8,10.75,8,75.0,1
Julián Vicente Araujo Zúñiga,Julián Vicente Araujo Zúñiga,Mexico,RB,RB,AFC Bournemouth,Premier League,23,83.0,35.0,64.0,70.0,71.0,73.0,74,68.0,12.25,8,74.0,1
Jesús Gilberto Orozco Chiquete,Jesús Gilberto Orozco Chiquete,Mexico,CB,CB,,nan,23,65.0,30.0,51.0,43.0,77.0,71.0,73,59.8,9.5,8,73.0,1
Érik Antonio Lira Méndez,Érik Antonio Lira Méndez,Mexico,CDM,CDM,,nan,25,74.0,58.0,68.0,68.0,69.0,74.0,73,70.0,12.0,8,73.0,1
Jorge Eduardo Sánchez Ramos,Jorge Eduardo Sánchez Ramos,Mexico,RB,RB,,nan,27,84.0,50.0,63.0,71.0,69.0,78.0,73,67.0,9.75,8,73.0,1
José Raúl Rangel Aguilar,José Raúl Rangel Aguilar,Mexico,GK,GK,,nan,25,45.0,45.0,45.0,45.0,45.0,45.0,72,72.0,73.5,8,72.0,1
Mateo Chávez García,Mateo Chávez García,Mexico,LB,LB,AZ Alkmaar,Eredivisie,21,82.0,45.0,64.0,71.0,65.0,68.0,72,67.2,8.0,8,72.0,1
Carlos Agustín Moreno Luna,Carlos Agustín Moreno Luna,Mexico,GK,GK,,nan,27,45.0,45.0,45.0,45.0,45.0,45.0,72,72.0,73.0,8,72.0,1
Juan José Sánchez Purata,Juan José Sánchez Purata,Mexico,CB,CB,,nan,27,53.0,48.0,51.0,55.0,72.0,72.0,72,59.4,11.0,8,72.0,1
Rodrigo Jhossel Huescas Hurtado,Rodrigo Jhossel Huescas Hurtado,Mexico,RB,RB,FC København,Superliga,21,83.0,63.0,67.0,70.0,65.0,62.0,72,69.0,10.75,8,72.0,1
Siyabonga Ngezana,Siyabonga Ngezana,South Africa,CB,CB,FCSB,Liga I,27,75.0,37.0,48.0,60.0,74.0,79.0,73,58.0,12.0,8,73.0,1
Gift Links,Gift Links,South Africa,LB,LB,Aarhus Gymnastikforening,Superliga,26,87.0,56.0,67.0,74.0,64.0,68.0,72,69.0,9.25,8,72.0,1
Lyle Brent Foster,Lyle Brent Foster,South Africa,ST,ST,Burnley,Premier League,24,81.0,72.0,61.0,69.0,36.0,73.0,72,65.4,8.0,8,72.0,1
