rank,group,team,overall,best_xi,depth,chemistry,coach,n_players
1,C,Brazil,83.1,83.2,82.2,84.6,70.0,26
2,I,France,82.7,83.2,82.4,81.1,70.0,26
3,H,Spain,82.1,82.4,81.6,82.7,70.0,26
4,E,Germany,81.9,81.8,81.1,84.9,70.0,26
5,L,England,81.9,82.2,81.4,82.0,70.0,26
6,J,Argentina,81.2,82.0,81.0,78.8,70.0,26
7,K,Portugal,80.6,81.3,80.8,78.6,70.0,26
8,F,Netherlands,80.0,80.4,80.0,79.9,70.0,26
9,G,Belgium,78.3,79.5,78.9,74.2,70.0,26
10,H,Uruguay,76.7,78.0,76.4,73.2,70.0,26
11,B,Switzerland,76.6,77.5,76.3,74.6,70.0,26
12,L,Croatia,75.9,76.8,76.0,73.7,70.0,26
13,C,Morocco,75.9,77.5,75.5,70.8,70.0,26
14,K,Colombia,75.6,76.7,75.5,73.0,70.0,26
15,D,Turkey,75.5,76.2,74.6,76.6,70.0,26
16,F,Sweden,74.8,76.3,74.0,70.7,70.0,26
17,E,Ivory Coast,74.2,75.6,74.6,69.5,70.0,26
18,I,Norway,74.1,75.9,73.9,67.9,70.0,26
19,I,Senegal,73.5,75.2,73.5,67.2,70.0,26
20,J,Algeria,73.4,74.8,73.4,69.1,70.0,26
21,D,United States,73.2,74.9,73.7,67.2,70.0,26
22,J,Austria,73.2,74.0,73.8,71.9,70.0,26
23,C,Scotland,72.4,73.9,72.8,67.8,70.0,26
24,L,Ghana,72.2,74.0,72.1,66.1,70.0,26
25,E,Ecuador,72.0,73.3,71.1,69.7,70.0,26
26,F,Japan,72.0,73.6,73.4,65.3,70.0,26
27,A,Czech Republic,71.9,72.7,71.8,71.7,70.0,26
28,A,South Korea,71.3,72.9,71.5,66.0,70.0,26
29,K,DR Congo,71.3,72.4,71.3,69.0,70.0,26
30,A,Mexico,71.2,73.4,72.7,61.1,70.0,26
31,B,Canada,70.4,72.6,70.7,61.6,70.0,26
32,B,Bosnia-Herzegovina,70.1,72.0,69.9,63.3,70.0,26
33,D,Paraguay,69.5,71.4,70.5,61.3,70.0,26
34,H,Saudi Arabia,67.7,68.8,68.3,65.1,70.0,26
35,F,Tunisia,67.2,68.8,67.0,62.6,70.0,26
36,D,Australia,67.2,69.2,68.4,57.9,70.0,26
37,B,Qatar,66.9,68.6,67.3,60.8,70.0,26
38,G,Iran,66.5,67.3,67.3,65.5,70.0,6
39,G,Egypt,66.5,67.5,66.9,64.7,70.0,10
40,J,Jordan,66.4,66.9,67.0,68.1,70.0,3
41,H,Cape Verde,66.0,67.8,66.3,59.7,70.0,26
42,G,New Zealand,65.8,67.7,66.2,59.0,70.0,26
43,K,Uzbekistan,65.3,65.8,65.5,67.5,70.0,5
44,C,Haiti,64.3,66.4,63.7,57.0,70.0,14
45,L,Panama,63.7,65.1,63.4,60.5,70.0,15
46,A,South Africa,63.0,65.0,62.6,56.1,70.0,16
47,E,Curacao,62.1,63.4,61.9,59.1,70.0,15
48,I,Iraq,61.7,63.0,62.2,57.6,70.0,14
